Portuguese,English
que,what
não,no
o,The
de,in
a,The
é,It is
você,you
e,and
eu,I
um,a
para,for
está,it is
uma,one
se,if
com,with
por,per
ele,he
isso,this
em,in
me,me
do,of
mas,but
como,how
bem,well
da,gives
os,you
no,at the
ela,Is it over there
na,at
sim,yea
aqui,on here
mais,most
tem,has
meu,my
seu,your
muito,much
foi,he was
as,at
vai,go
sua,your
estou,I am
vamos,let's go
tudo,everything
minha,mine
só,only
então,then
pode,he can
agora,now
vou,I go
ser,to be
quando,When
fazer,to do
sei,know
nós,we
eles,they
tenho,have
te,you
estava,was
quer,would you like
certo,right
sabe,You know
já,already
era,it was
nos,U.S
ou,or
quem,who
ao,to the
nada,nothing
disse,said
há,there is
onde,Where
quero,I want
lá,over there
bom,Good
sou,am
ter,to have
dizer,to say
são,are
posso,can I
acho,I think
mim,me
sobre,on
porque,why
mesmo,same
coisa,thing
todos,all
estão,they are
algo,something
até,until
assim,so
tempo,time
nunca,Never
casa,House
esse,that
vocês,you
à,The
quê,what
essa,That
pra,for
ver,to see
também,also
tão,So
ainda,yet
dos,From
cara,guy
favor,favor
noite,night
ir,go
melhor,best
sem,without
obrigado,thanks
temos,we have
dia,day
talvez,maybe
pai,dad
esta,it is
estamos,we are
deus,God
isto,this
alguém,somebody
vida,life
mãe,mother
este,This one
senhor,Mr
anos,years old
sempre,ever
vez,turn
seus,their
verdade,truth
oh,oh
ficar,stay
dele,his
parece,looks
depois,later
claro,clear
tinha,he had
pouco,little
falar,speak
coisas,stuff
pessoas,people
antes,before
pelo,fur
homem,men
preciso,necessary
apenas,only
nem,nor
dois,two
boa,Good
deve,he must
fazendo,making
faz,does
todo,all
lugar,place
acha,he thinks
fez,did
fora,outside
aí,Ouch
estar,be
qual,which
trabalho,job
disso,of this
hoje,today
das,of
ninguém,nobody
precisa,it needs
novo,new
comigo,with me
queria,I wanted
ei,Hey
alguma,some
mundo,world
saber,know
dar,to give
grande,big
seja,be
dinheiro,cash
poderia,it could
sinto,I feel
podemos,we can
suas,your
nossa,Wow
lhe,him
nome,Name
será,it will be
qualquer,any
quanto,how much
outro,other
pela,through the
vá,go
meus,my
dela,her
nosso,our
filho,son
desculpe,excuse me
oi,Hi
ok,OK
certeza,assurance
vão,they go
outra,other
hora,hour
