Korean,English
내가,I
그,That
난,I
내,of mine
안,within
수,Number
이,this
네,Yeah
거야,Will
좀,A little
그래,okay
있어,there is
왜,Why
더,more
그리고,And
우리,Us
다,All
무슨,what
한,One
하지만,But
잘,well
어떻게,how
할,which
그냥,just
정말,Really
그럼,then
것,that
게,to
있어요,I have it
있는,there is
해,year
여기,here
넌,You
제가,I
날,day
우리가,U.S
건,key
전,I'm
이제,now
지금,now
그게,that
걸,What
거,roughness
아니,no
네가,you
없어,no
돼,Gotta
저,that
우린,we
제,My
못,nail
좋아,Good
당신이,You
다른,Other
나,I
그런,then
그건,that's
너무,Too
그래서,so
그렇게,like that
다시,again
이건,This
이런,this
나도,I also
모든,all
당신,you
거예요,Will
당신은,You
아,Ah
좋은,good
오,Five
때,time
너,you
하는,doing
하고,and
아냐,no
나는,I
아니야,no
알아,Know
같이,together
응,Huh
이게,this
없어요,do not have
괜찮아,OK
오늘,today
말이야,You mean
줄,line
또,In addition
널,Null
누가,Who
어떤,which
아주,very
말,Words
아직,yet
안돼,No
진짜,Really
모두,all
마,hemp
같은,same
여기서,here
